user_id,wiki_page
KondZilla,KondZilla
luccasneto,Luccas_Neto
Pirulla25,Pirula_(YouTuber)
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon
portadosfundos,Porta_dos_Fundos
felipeneto,Felipe_Neto
PewDiePie,PewDiePie
judsonlaipply,Judson_Laipply
RayWilliamJohnson,Ray_William_Johnson
zoella280390,Zoe_Sugg
